datetime,cause,corridor,station,type,priority,closure_prob,exp_duration_min,impact_index,tier
2024-03-11 23:34:02.576+00,construction,Non-corridor,K.R. Pura,planned,Low,1.0,422.6809411205462,83.60385679982119,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-09 06:38:13.42+00,construction,Non-corridor,Hennuru,planned,Low,0.7333333333333333,422.6809411205462,61.309494986535526,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-01-30 21:21:10.303+00,construction,Non-corridor,K.G. Halli,planned,Low,0.7333333333333333,422.6809411205462,61.309494986535526,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-12 05:56:43.641+00,construction,Non-corridor,Hennuru,planned,Low,0.7333333333333333,422.6809411205462,61.309494986535526,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-29 06:33:22.175+00,tree_fall,Non-corridor,K.G. Halli,unplanned,Low,1.0,297.58287308261697,58.86017912547209,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-04-06 06:55:15.076+00,water_logging,Mysore Road,Halasuru Gate,unplanned,High,0.7333333333333333,309.45035797270344,44.88549949854093,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-29 06:30:05.847+00,water_logging,Mysore Road,City Market,unplanned,High,0.7333333333333333,309.45035797270344,44.88549949854093,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-04-06 06:41:44.411+00,water_logging,Mysore Road,Chamarajpet,unplanned,High,0.7142857142857143,309.45035797270344,43.7196423687087,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-02-20 00:57:40.538+00,road_conditions,Non-corridor,K.R. Pura,unplanned,Low,0.45864661654135336,478.89672994202135,43.444390887400864,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-16 23:08:01.387+00,road_conditions,Non-corridor,Whitefield,unplanned,Low,0.45864661654135336,478.89672994202135,43.444390887400864,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-02-18 08:03:00.968+00,road_conditions,Non-corridor,K.R. Pura,unplanned,Low,0.45864661654135336,478.89672994202135,43.444390887400864,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-26 21:48:56.925+00,tree_fall,Non-corridor,Basavanagudi,unplanned,Low,0.7333333333333333,297.58287308261697,43.16413135867953,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-29 07:24:24.426+00,tree_fall,Non-corridor,Jeevanbheemanagar,unplanned,Low,0.7333333333333333,297.58287308261697,43.16413135867953,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-28 21:48:01.012+00,tree_fall,Non-corridor,Pulikeshinagar(F.Town),unplanned,Low,0.7333333333333333,297.58287308261697,43.16413135867953,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-14 21:58:59.053+00,tree_fall,Non-corridor,V.V.Puram (C.Pet),unplanned,Low,0.7333333333333333,297.58287308261697,43.16413135867953,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-07 06:09:19.361+00,tree_fall,Non-corridor,Wilson Garden,unplanned,Low,0.7333333333333333,297.58287308261697,43.16413135867953,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-04-06 06:48:08.032+00,water_logging,Non-corridor,Chamarajpet,unplanned,Low,0.7333333333333333,280.23586069585895,40.64796262360993,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-11 19:11:29.981+00,water_logging,Non-corridor,Sheshadripuram,unplanned,Low,0.7333333333333333,280.23586069585895,40.64796262360993,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-15 12:02:53.647+00,construction,Non-corridor,R.T. Nagar,unplanned,Low,0.45864661654135336,422.6809411205462,38.34462605104581,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-03-15 11:58:20.084+00,construction,Non-corridor,R.T. Nagar,unplanned,Low,0.45864661654135336,422.6809411205462,38.34462605104581,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-01-19 12:05:46+00,construction,Non-corridor,High ground,planned,Low,0.45864661654135336,422.6809411205462,38.34462605104581,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-02-15 12:05:46+00,construction,Non-corridor,Upparpet,planned,Low,0.45864661654135336,422.6809411205462,38.34462605104581,TIER 4 - DEPLOY: barricading + diversion + max personnel
2024-01-07 12:05:46+00,construction,Non-corridor,Banaswadi,planned,Low,0.45864661654135336,422.6809411205462,38.34462605104581,TIER 4 - DEPLOY: barricading + diversion + max personnel
